index,name,type1,type2,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,Smogon_VGC_Usage_2022,Smogon_VGC_Usage_2023,Smogon_VGC_Usage_2024,Worlds_VGC_Usage_2022,Worlds_VGC_Usage_2023,Worlds_VGC_Usage_2024
9,blastoise-mega,water,No_type,mega-launcher,No_ability,None,79,103,120,135,115,78,630,FALSE,FALSE,generation-i,0,0,0,0,0,0
9,blastoise-gmax,water,No_type,torrent,No_ability,rain-dish,79,83,100,85,105,78,530,FALSE,FALSE,generation-i,0,0,0,0,0,0
10,caterpie,bug,No_type,shield-dust,No_ability,run-away,45,30,35,20,20,45,195,FALSE,FALSE,generation-i,0,0,0,0,0,0
11,metapod,bug,No_type,shed-skin,No_ability,None,50,20,55,25,25,30,205,FALSE,FALSE,generation-i,0,0,0,0,0,0
12,butterfree,bug,flying,compound-eyes,No_ability,tinted-lens,60,45,50,90,80,70,395,FALSE,FALSE,generation-i,0.04471,0,0,0.04,0,0
12,butterfree-gmax,bug,flying,compound-eyes,No_ability,tinted-lens,60,45,50,90,80,70,395,FALSE,FALSE,generation-i,0,0,0,0,0,0
13,weedle,bug,poison,shield-dust,No_ability,run-away,40,35,30,20,20,50,195,FALSE,FALSE,generation-i,0,0,0,0,0,0
14,kakuna,bug,poison,shed-skin,No_ability,None,45,25,50,25,25,35,205,FALSE,FALSE,generation-i,0,0,0,0,0,0
15,beedrill,bug,poison,swarm,No_ability,sniper,65,90,40,45,80,75,395,FALSE,FALSE,generation-i,0,0,0,0,0,0
15,beedrill-mega,bug,poison,adaptability,No_ability,None,65,150,40,15,80,145,495,FALSE,FALSE,generation-i,0,0,0,0,0,0
16,pidgey,normal,flying,keen-eye,tangled-feet,big-pecks,40,45,40,35,35,56,251,FALSE,FALSE,generation-i,0,0,0,0,0,0
17,pidgeotto,normal,flying,keen-eye,tangled-feet,big-pecks,63,60,55,50,50,71,349,FALSE,FALSE,generation-i,0,0,0,0,0,0
18,pidgeot,normal,flying,keen-eye,tangled-feet,big-pecks,83,80,75,70,70,101,479,FALSE,FALSE,generation-i,0,0,0,0,0,0
18,pidgeot-mega,normal,flying,no-guard,No_ability,None,83,80,80,135,80,121,579,FALSE,FALSE,generation-i,0,0,0,0,0,0
19,rattata,normal,No_type,run-away,guts,hustle,30,56,35,25,35,72,253,FALSE,FALSE,generation-i,0,0,0,0,0,0
19,rattata-alola,dark,normal,gluttony,hustle,thick-fat,30,56,35,25,35,72,253,FALSE,FALSE,generation-i,0,0,0,0,0,0
20,raticate,normal,No_type,run-away,guts,hustle,55,81,60,50,70,97,413,FALSE,FALSE,generation-i,0,0,0,0,0,0
20,raticate-alola,dark,normal,gluttony,hustle,thick-fat,75,71,70,40,80,77,413,FALSE,FALSE,generation-i,0,0,0,0,0,0
20,raticate-totem-alola,dark,normal,gluttony,hustle,thick-fat,75,71,70,40,80,77,413,FALSE,FALSE,generation-i,0,0,0,0,0,0
21,spearow,normal,flying,keen-eye,No_ability,sniper,40,60,30,31,31,70,262,FALSE,FALSE,generation-i,0,0,0,0,0,0
22,fearow,normal,flying,keen-eye,No_ability,sniper,65,90,65,61,61,100,442,FALSE,FALSE,generation-i,0,0,0,0,0,0
23,ekans,poison,No_type,intimidate,shed-skin,unnerve,35,60,44,40,54,55,288,FALSE,FALSE,generation-i,0,5.00E-05,0,0,0,0
24,arbok,poison,No_type,intimidate,shed-skin,unnerve,60,95,69,65,79,80,448,FALSE,FALSE,generation-i,0,0.04876,0.00779,0,0.04,0
25,pikachu,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0.15854,0.00831,0.09502,0.1,0,0.04
25,pikachu-rock-star,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-belle,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-pop-star,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-phd,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-libre,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-cosplay,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-original-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-hoenn-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-sinnoh-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-unova-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-kalos-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-alola-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-partner-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-starter,electric,No_type,static,No_ability,lightning-rod,45,80,50,75,60,120,430,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-world-cap,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
25,pikachu-gmax,electric,No_type,static,No_ability,lightning-rod,35,55,40,50,50,90,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
26,raichu,electric,No_type,static,No_ability,lightning-rod,60,90,55,90,80,110,485,FALSE,FALSE,generation-i,NA,0.23088,0.04308,0.87,0,0.09
26,raichu-alola,electric,psychic,surge-surfer,No_ability,None,60,85,50,95,85,110,485,FALSE,FALSE,generation-i,0.00562,0.0096,0.00836,0,0,0
27,sandshrew,ground,No_type,sand-veil,No_ability,sand-rush,50,75,85,20,30,40,300,FALSE,FALSE,generation-i,0,0,0,0,0,0
27,sandshrew-alola,ice,steel,snow-cloak,No_ability,slush-rush,50,75,90,10,35,40,300,FALSE,FALSE,generation-i,0,0,0,0,0,0
28,sandslash,ground,No_type,sand-veil,No_ability,sand-rush,75,100,110,45,55,65,450,FALSE,FALSE,generation-i,0,0.00383,0,0,0,0
28,sandslash-alola,ice,steel,snow-cloak,No_ability,slush-rush,75,100,120,25,65,65,450,FALSE,FALSE,generation-i,0.0003,0.1416,0.00712,0,0,0
29,nidoranf,poison,No_type,poison-point,rivalry,hustle,55,47,52,40,40,41,275,FALSE,FALSE,generation-i,0,0,0,0,0,0
30,nidorina,poison,No_type,poison-point,rivalry,hustle,70,62,67,55,55,56,365,FALSE,FALSE,generation-i,0,0,0,0,0,0
31,nidoqueen,poison,ground,poison-point,rivalry,sheer-force,90,92,87,75,85,76,505,FALSE,FALSE,generation-i,3.00E-05,0,0,0,0,0
32,nidoranm,poison,No_type,poison-point,rivalry,hustle,46,57,40,40,40,50,273,FALSE,FALSE,generation-i,0,0,0,0,0,0
33,nidorino,poison,No_type,poison-point,rivalry,hustle,61,72,57,55,55,65,365,FALSE,FALSE,generation-i,0,0,0,0,0,0
34,nidoking,poison,ground,poison-point,rivalry,sheer-force,81,102,77,85,75,85,505,FALSE,FALSE,generation-i,0.01135,0,0,0,0,0
35,clefairy,fairy,No_type,cute-charm,magic-guard,friend-guard,70,45,48,60,65,35,323,FALSE,FALSE,generation-i,0.8427,NA,0.52346,1.27,2.09,0.45
36,clefable,fairy,No_type,cute-charm,magic-guard,unaware,95,70,73,95,90,60,483,FALSE,FALSE,generation-i,0.08481,0.14252,0.02832,0,0.19,3.93
37,vulpix,fire,No_type,flash-fire,No_ability,drought,38,41,40,50,65,65,299,FALSE,FALSE,generation-i,0,1.00E-05,0,0,0,0.05
37,vulpix-alola,ice,No_type,snow-cloak,No_ability,snow-warning,38,41,40,50,65,65,299,FALSE,FALSE,generation-i,0,0.00027,0,0,0,0
38,ninetales,fire,No_type,flash-fire,No_ability,drought,73,76,75,81,100,100,505,FALSE,FALSE,generation-i,0.00462,0.89173,0.26427,0,0,0.09
38,ninetales-alola,ice,fairy,snow-cloak,No_ability,snow-warning,73,67,75,81,100,109,505,FALSE,FALSE,generation-i,0.10998,NA,NA,0.06,6.03,11.47
39,jigglypuff,normal,fairy,cute-charm,competitive,friend-guard,115,45,20,45,25,20,270,FALSE,FALSE,generation-i,0.01032,2.00E-05,0.00064,0,0,0
40,wigglytuff,normal,fairy,cute-charm,competitive,frisk,140,70,45,85,50,45,435,FALSE,FALSE,generation-i,1.00E-05,0.01243,0.00096,0,0,0
41,zubat,poison,flying,inner-focus,No_ability,infiltrator,40,45,35,30,40,55,245,FALSE,FALSE,generation-i,0,0,0,0,0,0
42,golbat,poison,flying,inner-focus,No_ability,infiltrator,75,80,70,65,75,90,455,FALSE,FALSE,generation-i,0,0,0,0,0,0
43,oddish,grass,poison,chlorophyll,No_ability,run-away,45,50,55,75,65,30,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
44,gloom,grass,poison,chlorophyll,No_ability,stench,60,65,70,85,75,40,395,FALSE,FALSE,generation-i,0,0,0.00022,0,0,0
45,vileplume,grass,poison,chlorophyll,No_ability,effect-spore,75,80,85,110,90,50,490,FALSE,FALSE,generation-i,0,0,0.00475,0,0,0
46,paras,bug,grass,effect-spore,dry-skin,damp,35,70,55,45,55,25,285,FALSE,FALSE,generation-i,0,0,0,0,0,0
47,parasect,bug,grass,effect-spore,dry-skin,damp,60,95,80,60,80,30,405,FALSE,FALSE,generation-i,0,0,0,0,0,0
48,venonat,bug,poison,compound-eyes,tinted-lens,run-away,60,55,50,40,55,45,305,FALSE,FALSE,generation-i,0,0,0,0,0,0
49,venomoth,bug,poison,shield-dust,tinted-lens,wonder-skin,70,65,60,90,75,90,450,FALSE,FALSE,generation-i,0,0.00453,0.00016,0,0,0
50,diglett,ground,No_type,sand-veil,arena-trap,sand-force,10,55,25,35,45,95,265,FALSE,FALSE,generation-i,0,0,0,0,0,0
50,diglett-alola,ground,steel,sand-veil,tangling-hair,sand-force,10,55,30,35,45,90,265,FALSE,FALSE,generation-i,0,0,0,0,0,0
51,dugtrio,ground,No_type,sand-veil,arena-trap,sand-force,35,100,50,50,70,120,425,FALSE,FALSE,generation-i,0.02237,0.02947,0.00138,0.08,0,0
51,dugtrio-alola,ground,steel,sand-veil,tangling-hair,sand-force,35,100,60,50,70,110,425,FALSE,FALSE,generation-i,0,0.00079,0.0001,0,0,0
52,meowth,normal,No_type,pickup,technician,unnerve,40,45,35,40,40,90,290,FALSE,FALSE,generation-i,0,0,0,0,0,0
52,meowth-alola,dark,No_type,pickup,technician,rattled,40,35,35,50,40,90,290,FALSE,FALSE,generation-i,0,0,0,0,0,0
52,meowth-galar,steel,No_type,pickup,tough-claws,unnerve,50,65,55,40,40,40,290,FALSE,FALSE,generation-i,0,0,0,0,0,0
52,meowth-gmax,normal,No_type,pickup,technician,unnerve,40,45,35,40,40,90,290,FALSE,FALSE,generation-i,0,0,0,0,0,0
53,persian,normal,No_type,limber,technician,unnerve,65,70,60,65,65,115,440,FALSE,FALSE,generation-i,0,0.01124,0.00063,0,0,0
53,persian-alola,dark,No_type,fur-coat,technician,rattled,65,60,60,75,65,115,440,FALSE,FALSE,generation-i,0.3081,0.14897,0.0209,0.23,0.04,0
54,psyduck,water,No_type,damp,cloud-nine,swift-swim,50,52,48,65,50,55,320,FALSE,FALSE,generation-i,0,0,1.00E-05,0,0,0
55,golduck,water,No_type,damp,cloud-nine,swift-swim,80,82,78,95,80,85,500,FALSE,FALSE,generation-i,0.01611,0.02501,0.01269,0,0,0
56,mankey,fighting,No_type,vital-spirit,anger-point,defiant,40,80,35,35,45,70,305,FALSE,FALSE,generation-i,0,0,0,0,0,0
57,primeape,fighting,No_type,vital-spirit,anger-point,defiant,65,105,60,60,70,95,455,FALSE,FALSE,generation-i,0,0.00163,0.00747,0,0,0.05
58,growlithe,fire,No_type,intimidate,flash-fire,justified,55,70,45,70,50,60,350,FALSE,FALSE,generation-i,0,0,0,0,0,0
58,growlithe-hisui,fire,rock,intimidate,flash-fire,rock-head,60,75,45,65,50,55,350,FALSE,FALSE,generation-i,0,0,0,0,0,0
59,arcanine,fire,No_type,intimidate,flash-fire,justified,90,110,80,100,80,95,555,FALSE,FALSE,generation-i,0.26863,NA,0.10139,0.06,0.17,0.31
59,arcanine-hisui,fire,rock,intimidate,flash-fire,rock-head,95,115,80,95,80,90,555,FALSE,FALSE,generation-i,0,NA,NA,0,15.75,1.3
60,poliwag,water,No_type,water-absorb,damp,swift-swim,40,50,40,40,40,90,300,FALSE,FALSE,generation-i,0,0,0,0,0,0
61,poliwhirl,water,No_type,water-absorb,damp,swift-swim,65,65,65,50,50,90,385,FALSE,FALSE,generation-i,0,0,1.00E-05,0,0,0
62,poliwrath,water,fighting,water-absorb,damp,swift-swim,90,95,95,70,90,70,510,FALSE,FALSE,generation-i,0.00276,0.03525,0.00365,0,0,0.04
63,abra,psychic,No_type,synchronize,inner-focus,magic-guard,25,20,15,105,55,90,310,FALSE,FALSE,generation-i,0,0,0,0,0,0
64,kadabra,psychic,No_type,synchronize,inner-focus,magic-guard,40,35,30,120,70,105,400,FALSE,FALSE,generation-i,0,0,0,0,0,0
65,alakazam,psychic,No_type,synchronize,inner-focus,magic-guard,55,50,45,135,95,120,500,FALSE,FALSE,generation-i,0.00749,0,0,0,0,0
65,alakazam-mega,psychic,No_type,trace,No_ability,None,55,50,65,175,105,150,600,FALSE,FALSE,generation-i,0,0,0,0,0,0
66,machop,fighting,No_type,guts,no-guard,steadfast,70,80,50,35,35,35,305,FALSE,FALSE,generation-i,0,0,0,0,0,0
67,machoke,fighting,No_type,guts,no-guard,steadfast,80,100,70,50,60,45,405,FALSE,FALSE,generation-i,0,0,0,0,0,0
68,machamp,fighting,No_type,guts,no-guard,steadfast,90,130,80,65,85,55,505,FALSE,FALSE,generation-i,0.00738,0,0,0,0,0
68,machamp-gmax,fighting,No_type,guts,no-guard,steadfast,90,130,80,65,85,55,505,FALSE,FALSE,generation-i,0,0,0,0,0,0
69,bellsprout,grass,poison,chlorophyll,No_ability,gluttony,50,75,35,70,30,40,300,FALSE,FALSE,generation-i,0,0,0,0,0,0
70,weepinbell,grass,poison,chlorophyll,No_ability,gluttony,65,90,50,85,45,55,390,FALSE,FALSE,generation-i,0,0,0,0,0,0
71,victreebel,grass,poison,chlorophyll,No_ability,gluttony,80,105,65,100,70,70,490,FALSE,FALSE,generation-i,0,0.02946,0.00202,0,0,0
72,tentacool,water,poison,clear-body,liquid-ooze,rain-dish,40,40,35,50,100,70,335,FALSE,FALSE,generation-i,0,0,0,0,0,0
73,tentacruel,water,poison,clear-body,liquid-ooze,rain-dish,80,70,65,80,120,100,515,FALSE,FALSE,generation-i,1.00E-05,0,0.00485,0,0,0
74,geodude,rock,ground,rock-head,sturdy,sand-veil,40,80,100,30,30,20,300,FALSE,FALSE,generation-i,0,0,0,0,0,0
74,geodude-alola,rock,electric,magnet-pull,sturdy,galvanize,40,80,100,30,30,20,300,FALSE,FALSE,generation-i,0,0,0,0,0,0
75,graveler,rock,ground,rock-head,sturdy,sand-veil,55,95,115,45,45,35,390,FALSE,FALSE,generation-i,0,0,0,0,0,0
75,graveler-alola,rock,electric,magnet-pull,sturdy,galvanize,55,95,115,45,45,35,390,FALSE,FALSE,generation-i,0,0.00017,0,0,0,0
76,golem,rock,ground,rock-head,sturdy,sand-veil,80,120,130,55,65,45,495,FALSE,FALSE,generation-i,0,0.02096,0.00182,0,0,0
76,golem-alola,rock,electric,magnet-pull,sturdy,galvanize,80,120,130,55,65,45,495,FALSE,FALSE,generation-i,0,0.11525,0.05107,0,0,0.04
77,ponyta,fire,No_type,run-away,flash-fire,flame-body,50,85,55,65,65,90,410,FALSE,FALSE,generation-i,0,0,0,0,0,0
77,ponyta-galar,psychic,No_type,run-away,pastel-veil,anticipation,50,85,55,65,65,90,410,FALSE,FALSE,generation-i,0,0,0,0,0,0
78,rapidash,fire,No_type,run-away,flash-fire,flame-body,65,100,70,80,80,105,500,FALSE,FALSE,generation-i,0,0,0,0,0,0
78,rapidash-galar,psychic,fairy,run-away,pastel-veil,anticipation,65,100,70,80,80,105,500,FALSE,FALSE,generation-i,0,0,0,0,0,0
79,slowpoke,water,psychic,oblivious,own-tempo,regenerator,90,65,65,40,40,15,315,FALSE,FALSE,generation-i,0,0.02128,0.0022,0,0,0
79,slowpoke-galar,psychic,No_type,gluttony,own-tempo,regenerator,90,65,65,40,40,15,315,FALSE,FALSE,generation-i,0,2.00E-05,0,0,0.04,0
80,slowbro,water,psychic,oblivious,own-tempo,regenerator,95,75,110,100,80,30,490,FALSE,FALSE,generation-i,0.02799,0.05157,0.02571,2.55,0,0.05
80,slowbro-mega,water,psychic,shell-armor,No_ability,None,95,75,180,130,80,30,590,FALSE,FALSE,generation-i,0,0,0,0,0,0
80,slowbro-galar,poison,psychic,quick-draw,own-tempo,regenerator,95,100,95,100,70,30,490,FALSE,FALSE,generation-i,0.00542,0.03762,0.01184,0,0,0.05
81,magnemite,electric,steel,magnet-pull,sturdy,analytic,25,35,70,95,55,45,325,FALSE,FALSE,generation-i,0,0,0,0,0,0
82,magneton,electric,steel,magnet-pull,sturdy,analytic,50,60,95,120,70,70,465,FALSE,FALSE,generation-i,0,0.00409,0.00042,0,0,0
83,farfetchd,normal,flying,keen-eye,inner-focus,defiant,52,90,55,58,62,60,377,FALSE,FALSE,generation-i,0,0,0,0,0,0
83,farfetchd-galar,fighting,No_type,steadfast,No_ability,scrappy,52,95,55,58,62,55,377,FALSE,FALSE,generation-i,0,0,0,0,0,0
84,doduo,normal,flying,run-away,early-bird,tangled-feet,35,85,45,35,35,75,310,FALSE,FALSE,generation-i,0,0,0,0,0,0
85,dodrio,normal,flying,run-away,early-bird,tangled-feet,60,110,70,60,60,110,470,FALSE,FALSE,generation-i,0,0,0.00376,0,0,0
86,seel,water,No_type,thick-fat,hydration,ice-body,65,45,55,45,70,45,325,FALSE,FALSE,generation-i,0,0,0,0,0,0
87,dewgong,water,ice,thick-fat,hydration,ice-body,90,70,80,70,95,70,475,FALSE,FALSE,generation-i,0,0,0.02417,0,0,0
88,grimer,poison,No_type,stench,sticky-hold,poison-touch,80,80,50,40,50,25,325,FALSE,FALSE,generation-i,0,0,0,0,0,0
88,grimer-alola,poison,dark,poison-touch,gluttony,power-of-alchemy,80,80,50,40,50,25,325,FALSE,FALSE,generation-i,0,0,0,0,0,0
89,muk,poison,No_type,stench,sticky-hold,poison-touch,105,105,75,65,100,50,500,FALSE,FALSE,generation-i,0,0.00064,0.00015,0,0,0
89,muk-alola,poison,dark,poison-touch,gluttony,power-of-alchemy,105,105,75,65,100,50,500,FALSE,FALSE,generation-i,0,0.25071,0.75696,0,0.06,0.05
90,shellder,water,No_type,shell-armor,skill-link,overcoat,30,65,100,45,25,40,305,FALSE,FALSE,generation-i,0,0,0,0,0,0
91,cloyster,water,ice,shell-armor,skill-link,overcoat,50,95,180,85,45,70,525,FALSE,FALSE,generation-i,0.00468,0.0565,0.00195,0,0,0
92,gastly,ghost,poison,levitate,No_ability,None,30,35,30,100,35,80,310,FALSE,FALSE,generation-i,0,0,0,0,0,0
93,haunter,ghost,poison,levitate,No_ability,None,45,50,45,115,55,95,405,FALSE,FALSE,generation-i,0,0,1.00E-05,0,0,0
94,gengar,ghost,poison,cursed-body,No_ability,None,60,65,60,130,75,110,500,FALSE,FALSE,generation-i,0.04475,0,0.03635,0,0.06,0.25
94,gengar-mega,ghost,poison,shadow-tag,No_ability,None,60,65,80,170,95,130,600,FALSE,FALSE,generation-i,0,0,0,0,0,0
94,gengar-gmax,ghost,poison,cursed-body,No_ability,None,60,65,60,130,75,110,500,FALSE,FALSE,generation-i,0,0,0,0,0,0
95,onix,rock,ground,rock-head,sturdy,weak-armor,35,45,160,30,45,70,385,FALSE,FALSE,generation-i,0,0,0,0,0,0
96,drowzee,psychic,No_type,insomnia,forewarn,inner-focus,60,48,45,43,90,42,328,FALSE,FALSE,generation-i,0,0,0,0,0,0
97,hypno,psychic,No_type,insomnia,forewarn,inner-focus,85,73,70,73,115,67,483,FALSE,FALSE,generation-i,0,0.00997,0,0,0,0
98,krabby,water,No_type,hyper-cutter,shell-armor,sheer-force,30,105,90,25,25,50,325,FALSE,FALSE,generation-i,0,0,0,0,0,0
99,kingler,water,No_type,hyper-cutter,shell-armor,sheer-force,55,130,115,50,50,75,475,FALSE,FALSE,generation-i,0.00258,0,0,0,0,0
99,kingler-gmax,water,No_type,hyper-cutter,shell-armor,sheer-force,55,130,115,50,50,75,475,FALSE,FALSE,generation-i,0,0,0,0,0,0
100,voltorb,electric,No_type,soundproof,static,aftermath,40,30,50,55,55,100,330,FALSE,FALSE,generation-i,0,0,0,0,0,0
100,voltorb-hisui,electric,grass,soundproof,static,aftermath,40,30,50,55,55,100,330,FALSE,FALSE,generation-i,0,0,0,0,0,0
101,electrode,electric,No_type,soundproof,static,aftermath,60,50,70,80,80,150,490,FALSE,FALSE,generation-i,0,0.10801,0.00041,0,0,0
101,electrode-hisui,electric,grass,soundproof,static,aftermath,60,50,70,80,80,150,490,FALSE,FALSE,generation-i,0,0.0931,0.00596,0,0.13,0.18
102,exeggcute,grass,psychic,chlorophyll,No_ability,harvest,60,40,80,60,45,40,325,FALSE,FALSE,generation-i,0,0,0,0,0,0
103,exeggutor,grass,psychic,chlorophyll,No_ability,harvest,95,95,85,125,75,55,530,FALSE,FALSE,generation-i,0.0059,0,0.07766,0,0,0.7
103,exeggutor-alola,grass,dragon,frisk,No_ability,harvest,95,105,85,125,75,45,530,FALSE,FALSE,generation-i,0.00577,0,0.06737,0.25,0,0.04
104,cubone,ground,No_type,rock-head,lightning-rod,battle-armor,50,50,95,40,50,35,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
105,marowak,ground,No_type,rock-head,lightning-rod,battle-armor,60,80,110,50,80,45,425,FALSE,FALSE,generation-i,0.04387,0,0,0,0,0
105,marowak-alola,fire,ghost,cursed-body,lightning-rod,rock-head,60,80,110,50,80,45,425,FALSE,FALSE,generation-i,0.25416,0,0,0.04,0,0
105,marowak-totem,fire,ghost,cursed-body,lightning-rod,rock-head,60,80,110,50,80,45,425,FALSE,FALSE,generation-i,0,0,0,0,0,0
106,hitmonlee,fighting,No_type,limber,reckless,unburden,50,120,53,35,110,87,455,FALSE,FALSE,generation-i,0,0,0.00557,0.1,0,0
107,hitmonchan,fighting,No_type,keen-eye,iron-fist,inner-focus,50,105,79,35,110,76,455,FALSE,FALSE,generation-i,0,0,0.00134,0,0,0
108,lickitung,normal,No_type,own-tempo,oblivious,cloud-nine,90,55,75,60,75,30,385,FALSE,FALSE,generation-i,0,0,0,0,0,0
109,koffing,poison,No_type,levitate,neutralizing-gas,stench,40,65,95,60,45,35,340,FALSE,FALSE,generation-i,0,0.00152,2.00E-05,0,0,0
110,weezing,poison,No_type,levitate,neutralizing-gas,stench,65,90,120,85,70,60,490,FALSE,FALSE,generation-i,NA,0.80234,0.49809,0.97,1.31,0.36
110,weezing-galar,poison,fairy,levitate,neutralizing-gas,misty-surge,65,90,120,85,70,60,490,FALSE,FALSE,generation-i,0.04753,NA,0.31882,0.04,0.63,1.35
111,rhyhorn,ground,rock,lightning-rod,rock-head,reckless,80,85,95,30,30,25,345,FALSE,FALSE,generation-i,0,0,0,0,0,0
112,rhydon,ground,rock,lightning-rod,rock-head,reckless,105,130,120,45,45,40,485,FALSE,FALSE,generation-i,1.00E-05,0,0.01743,0,0,0.07
113,chansey,normal,No_type,natural-cure,serene-grace,healer,250,5,5,35,105,50,450,FALSE,FALSE,generation-i,0.20912,0.00722,0.00417,0.04,0,0
114,tangela,grass,No_type,chlorophyll,leaf-guard,regenerator,65,55,115,100,40,60,435,FALSE,FALSE,generation-i,0.00165,0,0,0,0,0
115,kangaskhan,normal,No_type,early-bird,scrappy,inner-focus,105,95,80,40,80,90,490,FALSE,FALSE,generation-i,0.06004,0,0,0.04,0,0
115,kangaskhan-mega,normal,No_type,parental-bond,No_ability,None,105,125,100,60,100,100,590,FALSE,FALSE,generation-i,0,0,0,0,0,0
116,horsea,water,No_type,swift-swim,sniper,damp,30,40,70,70,25,60,295,FALSE,FALSE,generation-i,0,0,0,0,0,0
117,seadra,water,No_type,poison-point,sniper,damp,55,65,95,95,45,85,440,FALSE,FALSE,generation-i,0,0,0,0,0,0
118,goldeen,water,No_type,swift-swim,water-veil,lightning-rod,45,67,60,35,50,63,320,FALSE,FALSE,generation-i,0,0,0,0,0,0
119,seaking,water,No_type,swift-swim,water-veil,lightning-rod,80,92,65,65,80,68,450,FALSE,FALSE,generation-i,0.00183,0,0,0.06,0,0
120,staryu,water,No_type,illuminate,natural-cure,analytic,30,45,55,70,55,85,340,FALSE,FALSE,generation-i,0,0,0,0,0,0
